Title,Accession ID,Description,GEO
Homo sapiens,PRJNA1020645,"Dengue virus (DENV) causes approximately 390 million dengue infections worldwide every year. There were 22,777 reported DENV infections in Tainan, Taiwan in 2015. In this study, 129 DENV were isolated from 628 patient sera. Sequencing of C, prM, and E genes from 45 DENV strains was performed and phylogenetic analysis based on C-prM-E genes revealed that all strains were classified as DENV serotype 2 Cosmopolitan genotype. Compared with other genotypes, several variations were found. The major substitution was C-A314G (K73R) found in the capsid region, however, reverse genetics virus rgC-A314G (K73R) showed slower replication in BHK-21 and C6/36 cells when compared with the wildtype virus. Next generation sequencing (NGS) of three sera collected from one DENV-infected patient at different time-points showed that the number of haplotypes decreased with time in the DENV-infected patient. On the fifth day after admission, two new haplotypes emerged whereby leucine mutated to isoleucine and was identified in NS4A-115. Quasispecies analysis of DENV-1, -2, and -3 revealed that the variations were all located in the nonstructural protein region of the genome, namely NS2B, NS3, and NS4A. In conclusion, a newly emerged substitution in the capsid region was found in the 2015 isolates. This C-A314G (K73R) substitution showed lower replication rate and stability than wildtype virus, thus indicating that the other variants in the viral population may contribute to the 2015 outbreak. Additionally, haplotype analysis showed that the DENV viral population continually changes overtime to adapt to its environment.Less...",
Genome-scale CRISPR knockout screen for a Dengue virus mutant,PRJEB48595,No description available,
Distinct serum exosomal miRNA Profiles detected in acute and asymptomatic Dengue infections,PRJNA974807,No description available,
Whole transcriptome sequencing using Huh7 cells transfected with Dengue virus serotype 4 NS1 expressing plasmid.,PRJNA962566;,"To study the role of Dengue virus serotype 4  NS1 in modulation of host cell transcriptome we performed gene expression profiling using data obtained from  RNA- sequencing of  total RNA from 3  different samples: Huh7 cells (no transfection), Huh7 cells transfected with pTracer-SV40  empty vector and Huh7 cells transfected with pTracer-SV40 encoding dengue virus serotype 4 NS1  (pDENV4 NS1).
Overall design: After 24 hours of transfection, cells were lysed and total RNA was purified. RNA samples were proccessed for whole transcriptome sequencing using   Illumina Platform, followed by comparative gene expression analysis.Less...",GSE230787
Single-cell Structure Probing of RNA Transcripts (sc-SPORT) of transfected RNAs in HEK293T cells,PRJNA946273,"Here, we developed a new method- Single Cell Structure Probing Of RNA Transcripts scSPORT to simultaneously determine RNA secondary structural signal and gene expression in a single cell. To test this method, we introduced the wildtype versions of three different RNA Tetrahymena ribozyme, dengue 3UTR and HIV RNA, into a population of HEK293T cells and separately introduced the structure mutation versions, with a few disrupted pared bases, into a different population of cells.Less...",
Global and cell type-specific immunological hallmarks of severe dengue progression,PRJNA912187;,"Dengue virus (DENV) causes widespread mosquito-borne infection. While most symptomatic patients experience mild disease, a fraction progresses to severe dengue (SD)--a life-threatening condition whose pathogenesis remains largely unknown. We integrated virus-inclusive single cell RNA-Seq 2 (viscRNA-Seq 2) with functional assays to determine the immunological hallmarks of SD progression in children’s blood. We show that beyond myeloid cells, in natural infection, B cells harbor replicating DENV capable of infecting permissive cells. Alterations in cell abundance, gene and protein expression and secretion, and cell-cell communications suggesting increased migration and inflammation in SD progressors, yet concurrent: i) impaired interferon responses and antigen presentation, in part DENV-modulated, by antigen presenting cells (APCs) in face of intact uptake; ii) activation, regulation, and exhaustion of effector responses, enhanced IFNγ-responses, and appearance of HLA-DR-expressing NK cells possibly compensating for APCs impairments. These observations reveal the target cells of DENV in human blood and provide insight into SD pathogenesis beyond antibody-mediated enhancement.
Overall design: PBMCs derived from 20 DENV-infected children and 4 healthy controls were isolated by magnetic separation and analyzed via a optimized viscRNA-Seq 2 approachLess...",GSE220969
Integrated systems immunology approach identifies impaired effector T cell memory responses as a feature of progression to severe dengue fever,PRJNA890681;,No description available,GSE215835
RNA-seq analysis of functionally distinct HLADR+CD38+ CD8 T cells from acute dengue febrile patients,PRJNA873677;,"A discrete population of the CD8 T population with HLADR+ CD38+ phenotype expand massively during the acute febrile phase of natural infection with dengue virus. Although about a third of these massively expanding HLADR+ CD38+ CD8 T cells were also CD69high when examined ex vivo, only a small fraction made IFNg upon in vitro peptide stimulation.
Here we analyse the transcriptional profile of CD69+IFNg+, CD69+IFNg-, CD69-IFNg-, unstimulated HLADR+ CD38+ and HLADR-CD38- subsets upon peptide stimulation using RNA seq.
Overall design: Expression analysis of HLADR+CD38+CD69+IFNg+, HLADR+ CD38+CD69+IFNg-, HLADR+ CD38+ CD69-IFNg-, unstimulated HLADR+ CD38+, HLADR-CD38- CD8 T cell subsetsLess...",GSE212034
Host-response Transcriptional Biomarkers Accurately Discriminate Bacterial and Viral Infections by Global Pathogens,PRJNA870919;,"Global endemic infections, such as leptospirosis, rickettsial diseases, and dengue infections present diagnostic challenges, posing a dilemma for antibiotic stewardship worldwide. The goal of this project was to identify accurate transcriptional classifiers able to discriminate between bacterial and viral illness of global pathogens.
Overall design: Whole transcriptome RNA sequencing was performed on 294 human whole blood PAXgene RNA tubes from the U.S. and Sri Lanka. A variety of bacterial and viral infections from global pathogens were included. Noninfectious illness was included as a control category.Less...",GSE211567
Immune metabolic interplay drives the protective antibody response pre-vaccination with Dengue virus Vaccine,PRJNA862372;,"Protective immunity to dengue virus (DENV) requires antibody response to all four serotypes. Systems vaccinology identified pre-vaccination mechanisms predictive of broad antibody responses after immunization with a tetravalent live-attenuated DENV vaccine candidate (Butantan-DV/TV003). Anti-inflammatory pathways including TGF-b signaling expressed by CD68low monocytes and the metabolokines phosphatidylcholine (PC) and phosphatidylethanolamine (PE) were positively correlated with broadly neutralizing Ab responses against DENV. In contrast expression of pro-inflammatory pathways and cytokines (IFN, IL-1) in CD68hi monocytes and primary and secondary bile acids negatively correlated with broad DENVDENV specific Ab responses. Induction of TGF-b and IFNs respectively by PC/PE and bile acids in CD68low and CD68hi monocytes and their impact on viral sensing was confirmed in vitro. We show that the balance between metabolites and pro- or anti-inflammatory innate immune cells drives broad and protective B cell response to the live-attenuated dengue vaccine.
Overall design: Prevaccination PBMC samples compared between high and low breadth of the neutralizing Ab response to Dengue vaccine Butantan-TV003Less...",GSE209760
Effect of NEAT1 modulation on antiviral immune response,PRJNA862359;,"Reduction of NEAT1 transcript associated with Cell type-specific differential expression. The Knockdown of NEAT1 in Huh7 cells modulated antiviral response and dengue virus replication via the RIG-I pathway.
We then performed gene expression profiling analysis using data obtained from RNA-seq of 4 different cells at two time points.
Overall design: Comparative gene expression profiling analysis of RNA-seq data for NEAT1 knock down and wild type Huh7 cells infected with Dengue virus2.Less...",GSE209759
Transcriptional and Translational Dynamics of Zika and Dengue Virus Infection,PRJNA854905;,"Zika virus (ZIKV) and dengue virus (DENV) are members of the Flaviviridae family of RNA viruses and cause severe disease in humans. ZIKV and DENV share over 90% of their genome sequences, however the clinical features of Zika and dengue infections are very different reflecting tropism and cellular effects. Here, we used simultaneous RNA sequencing and ribosome footprinting to define the transcriptional and translational dynamics of ZIKV and DENV infection in human neuronal progenitor cells (hNPCs). The gene expression data showed induction of aminoacyl tRNA synthetases (ARS) and the translation-activating PIM1 kinase indicating an increase in RNA translation capacity. The data also reveal activation of different cell stress reponses, with ZIKV triggering a BACH1/2 redox program, and DENV activating the ETF/CHOP endoplasmatic reticulum (ER) stress program. The RNA translation data highlight activation of polyamine metabolism through changes in key enzymes and their regulators. This pathway is needed for eIF5A hypusination and has been implicated viral translation and replication. Concerning the viral RNA genomes, ribosome occupancy readily identifies highly translated open reading frames and a novel upstream ORF (uORF) in the DENV genome. Together, our data highlight both the cellular stress response and also the activation of RNA translation and polyamine metabolism during DENV and ZIKV infection.
Overall design: We performed ribosome footprinting and RNA sequencing on human neuronal progenitor cells (hNPCs) cells either uninfected or infected with ZIKV or DENV  in two biological replicates that were collected 72 hours post infection. Unifected samples are indicated as A1 and B1, ZIKV infected samples are indicated as A2, B2 and DENV infected samples are indicated as A3 and B3.Less...",GSE207347
Evaluation of human group 2 innate lymphoid cells (ILC2) in Dengue Fever,PRJNA851708;,No description available,GSE206648
The exosomal miRNAs signatures during disease progression in dengue virus infection,PRJEB47063,"Dengue virus is a causative agent of the dengue fever, a most common mosquito transmitted disease. As an epidemic disease, dengue has put almost half of the world’s population at risk. With the lack of specific treatment and effective vaccine, it is most important to diagnose and prognose the disease as early as possible. Based on its severity, dengue infection has been categorized into 3 group plans viz. WHO Plan A (dengue without warning), WHO Plan B (dengue with warning) and WHO Plan C (Dengue haemorrhagic fever). During the dengue infection as it progresses to severe form of infection, there will be a change in microRNA profile within the cell which will be reflected on the exosomes secreted by the cells. Hence, in this study, we would like to examine the exosome-associated microRNA in human patients’ serum samples at different stages (Plan A, Plan B and Plan C) of dengue infection as compared to healthy control. This would help us in identifying miRNA that are unique to dengue infection as well as that would help us in identifying the prognosis marker for early detection of disease severity.Less...",
The serum mRNA profile during disease progression in dengue virus infection,PRJEB47146,"Dengue virus infection can be classified into 3 different groups based on disease severity (Plan A, Plan B and Plan C). As the disease progresses to a severe infection, there will be change in the profile of the secretory mRNAs in the patient’s serum. This change may be a basis of disease progression, as these mRNAs may absorb by new cells and further aid or supress virus infection. Hence, in this study we wanted to examine the secretory mRNAs in human patient serum samples at different stages (Plan A, Plan B and Plan C) of dengue infection as compared to healthy control. This may help us in identifying the secretory mRNAs that are differentially regulated in dengue infection and how they help in progression to severe dengue.Less...",
Homo sapiens,PRJNA814417,No description available,
Homo sapiens,PRJNA812009,"Mosquito-borne viruses continue to cause significant global morbidity and mortality, particularly in Southeast Asia. When mosquitoes deliver the virus into the skin of humans while probing for a blood meal, they deposit also saliva, which contains a myriad of pharmacologically active compounds that modulate the host immune system. Little is known about skin immunity to mosquito saliva, particularly in endemic volunteers as most clinical studies are performed in na(SqrRoot) ve individuals who have never or rarely been exposed to a particular mosquito vector. People living in endemic areas have had long-term repeated exposure to these vectors and therefore have different immune response to mosquito saliva, which could interfere with mosquito-borne disease vaccine effectiveness. Characterization of skin immunity via various technical modalities will be important in order to identify critical aspects of the innate and adaptive immune responses after a vector bite.Here, we will execute a paired study of exposed-unexposed skin to carefully examine the innate and adaptive immune responses in the skin and blood to exposure of the saliva of Aedes aegypti, the mosquito vector of dengue, Zika, and chikungunya viruses. We will enroll 42 participants to undergo vector feeding and give blood samples at baseline and 2 and 14 days later. Additionally, participants will give skin punch biopsy samples of bitten (exposed) and unbitten (unexposed) skin. For analysis, we will group 10-12 participants in each of 4 technical modality cohorts or groups : 1) immunohistochemistry, 2) RNA sequencing, 3) flow cytometry, and 4) T-cell receptor sequencing. With the current rise of vector-borne diseases in the United States and around the world, we hope the results of this study contribute to future vaccine design and clinical development strategies for vector#borne diseases.Less...",
"Single-cell RNA-seq of human peripheral blood mononuclear cells (PBMCs) throughout the febrile, critical, and convalescence phases of dengue virus infection",PRJEB39954,"We investigated the abundances and transcriptomic changes of immune cells at several time points over the course of dengue virus infection. The PBMC samples were obtained from one dengue fever (DF) and one dengue hemorrhagic fever (DHF) patients (8 samples in total). The samples were harvested at two and one days before defervescence (febrile phase), at defervescence (critical phase), and two-week convalescence. Single-cell RNA-seq libraries were prepared using the 10x genomic protocol and were sequenced using the Illumina Hiseq platform. One healthy control sample analysed by the same protocol was included.Less...",
Broadly neutralizing human antibodies against dengue virus identified by single B cell transcriptomics,PRJNA793910,"Eliciting broadly neutralizing antibodies (bNAbs) against the four dengue virusserotypes (DENV1-4) that are spreading into new territories is an important goal of vaccine design. To define bNAb targets, we characterized 28 antibodies belonging to expanded and hypermutated clonal families identified by transcriptomic analysis of single plasmablasts from DENV-infected individuals. Among these, we identified J9 and J8, two somatically related bNAbs that potently neutralized DENV1-4. Mutagenesis studies showed that the major recognition determinants of these bNAbs are in E protein domain I, distinct from the only known class of human bNAbs against DENV with a well-defined epitope. B cell repertoire analysis from acute-phase peripheral blood suggested that J9 and J8 followed divergent somatic hypermutation pathways, and that a limited number of mutations was sufficient for neutralizing activity. Our study suggests multiple B cell evolutionary pathways leading to DENV bNAbs targeting a new epitope that can be exploited for vaccine design.Less...",
Replication of Dengue virus in differentiating K562-megakaryocytes is promoted by virus induced suppression in the accumulation of reactive oxygen species,PRJNA772576;,No description available,GSE186089
Multi-tissue transcriptomic-informed in silico investigation of drugs for the treatment of dengue fever disease,PRJEB46564,"Transcriptomics, proteomics and pathogen-host interactomics data is being explored for in silico informed-selection of drugs, prior to its functional evaluation. The effectiveness of this kind of strategy has been put into test in the current COVID-19 pandemic, and it has been paying off, leading to a few drugs being rapidly repurposed as treatment against SARS-CoV-2 infection. Several neglected tropical diseases, for which treatment remains unavailable, would benefit from informed in silico investigations of drugs, as we tried to perform in this work for dengue fever disease. We analysed transcriptomic data in the key tissues of liver, spleen and blood profiles, and verified that despite transcriptomic differences due to tissue specialization, the common mechanisms of action “Adrenergic receptor antagonist”, “ATPase inhibitor”, “NF-kB pathway inhibitor” and “Serotonin receptor antagonist” were identified as druggable (e.g. oxprenolol, digoxin, auranofin and palonosetron, respectively) to oppose the effects of severe dengue infection in these tissues. These are good candidates for future functional evaluation and clinical trials.Less...",
A population of CD4+CD8+ double-positive T cells associated with risk of plasma leakage in dengue viral infection,PRJNA737798;,"According to the WHO 2009 classification, dengue with warning signs (D+W) is at the risk of developing severe form of dengue disease. One of the most important warning signs is plasma leakage, which is a serious complication associated with higher morbidity and mortality. We report that the frequency of CD4+CD8+ double-positive (DP) T cells is significantly increased in patients at risk of developing plasma leakage. Transcriptomic analysis demonstrated that CD4+CD8+ DP cells were distinct from CD4+ Single Positive (SP) T cells, but co-clustered with CD8+ SP cells indicating a largely similar transcriptional profile. 20 significant differentially expressed (DE) genes were identified between CD4+CD8+ DP and CD8+ SP cells. These genes encode OX40 and CCR4 (TNFRSF4 and CCR4), as well as other molecules associated with cell signaling on the cell surface (NT5E, MXRA8, PTPRK). While 5 significant DE genes were identified, the profile of gene expression in CD4+CD8+ DP cells was mostly similar between patients with and without warning signs of plasma leakage, implying a role of CD4+CD8+ DP cells in plasma leakage through a quantitative increase rather than functional alteration. The differentially expressed genes identified could have diagnostic utility, perhaps as PCR-based diagnostic markers.
Overall design: RNA-sequencing of sorted T cells from 55 dengue patients with warning signs of plasma leakage (D+W), and 33 dengue patients without warning signs of plasma leakage (D-W)Less...",GSE178240
Dengue and Zika RNA-RNA interactomes reveal virus permissive and restrictive factors in human cells.,PRJNA736235;,"Identifying host factors is key to understanding RNA virus pathogenicity. Besides proteins, RNAs can interact with virus genomes to impact replication. Here, we used proximity ligation sequencing to identify virus-host RNA interactions for four strains of Zika virus (ZIKV) and one strain of dengue virus (DENV-1) in human cells. We found hundreds of coding and non-coding RNAs that bind to DENV and ZIKV viruses. Host RNAs tend to bind to single-stranded regions along the virus genomes and the binding is primarily driven by hybridization energetics. We observed that virus interacting host RNAs tend to be downregulated upon virus infection and identified a conserved set of virus responders that binds to most DENV and ZIKV. Knockdown of several short non-coding RNAs, including miR19a-3p, SCARNA2 and 7SK RNA resulted in a decrease in virus growth, suggesting that they act as virus permissive factors. In addition, the 3’UTR of DYNLT1 mRNA acts as a virus restrictive factor by binding to the conserved dumbbell region on DENV and ZIKV 3’UTR to decrease virus replication. This study demonstrates that host RNAs in themselves can impact virus growth in permissive and restrictive ways, expanding our understanding of host factors and RNA-based gene regulation during virus pathogenesis.
Overall design: RNA-seq was done on zika infected and non-infected hNPCs at 0hr, 2hr, 16hr and 24hrLess...",GSE176428
RNA seq analysis of human monocyte subsets in healthy and dengue subjects,PRJNA734850;,"In this analysis, sorted classical (CM), intermediate (IM) and non-classical (NCM) monocyte subsets from children under steady state (healthy, H) and dengue febrile illness (Dengue, D) were analyzed for their transcriptional profiles using RNA seq. The monocyte subsets were sorted from peripheral blood cells after excluding CD3, CD19, CD20, CD56, CD66b and NKp30 positive cells and then gating on HLADR positive population to identify CM, IM and NCM subsets based on surface expression of CD16 and CD14. The transcriptional profile of the three monocyte subsets was separately compared in healthy children, in dengue febrile children and in dengue versus healthy states. This study highlights hierarchy of gene expression in classical, intermediate and non-classical monocytes in healthy and dengue febrile conditions.
Overall design: Expression analysis of  CD14+ CD16 low classical monocytes, CD14+ CD16+ intermediate monocytes and CD14 low CD16+ non-classical monocytes sorted from healthy and dengue subjects.Less...",GSE176079
Transcriptomic analysis of DENV-specific CD8+T cell responses in acute disease does not support qualitative differences as drivers of disease severity,PRJNA730030;,"In this study, we assessed the contribution of dengue-specific CD8+T cells in hospitalized samples with mild (dengue fever; DF) and severe (dengue hemorrhagic fever; DHF) forms of the disease. Our in-depth transcriptomic analysis provides no evidence for qualitative differences in terms of CD8+T cell response against dengue, therefore, concluding that CD8+T cell response is not a contributing factor in the development of severe dengue disease.
Overall design: 40 individuals that required hospitalization due to DENV infection (based on clinical diagnosis and being positive either with PCR or IgM serology assay), have been enrolled and the corresponding blood samples were collected during hospitalization and during a follow up visit in convalescent phase. The 40 individuals are classified based on diseases severity in 20 with the mild form of the disease (Dengue Fever; DF) and 20 with the most severe form of the disease (Dengue Hemorragic Fever; DHF). For each donor, PBMCs purified from the blood samples have been stimulated with DENV-specific pool of class I peptides for 6 hours followed by IFNg capture assay.  After stimulation, the CD8+CD3+ cells have been sorted based on being IFNg positive or IFNg negative and both conditions were sequenced using a microscaled  approach.Less...",GSE174482
